# xmin, ymin, xmax, ymax, varxc, varyc, varw, varh
0.000000000000000000e+00,4.118345212191343307e-03,8.386857062578201294e-02,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.851323366165161133e-02,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.947368711233139038e-02,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,4.118345212191343307e-03,1.101843640208244324e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.118345212191343307e-03,0.000000000000000000e+00,7.482901960611343384e-02,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.578947342932224274e-02,0.000000000000000000e+00,1.157894730567932129e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,4.118345212191343307e-03,1.365001499652862549e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.043413534760475159e-02,0.000000000000000000e+00,1.011448130011558533e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.210526496171951294e-02,0.000000000000000000e+00,1.421052664518356323e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.139458432793617249e-02,4.118345212191343307e-03,1.628159433603286743e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.674992501735687256e-02,0.000000000000000000e+00,1.274605989456176758e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
6.842105090618133545e-02,0.000000000000000000e+00,1.684210598468780518e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.771037399768829346e-02,4.118345212191343307e-03,1.891317367553710938e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.306571096181869507e-02,0.000000000000000000e+00,1.537763923406600952e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.473684430122375488e-02,0.000000000000000000e+00,1.947368383407592773e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.402616739273071289e-02,4.118345212191343307e-03,2.154475152492523193e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.093815043568611145e-01,0.000000000000000000e+00,1.800921857357025146e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.210526302456855774e-01,0.000000000000000000e+00,2.210526317358016968e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.003419533371925354e-01,4.118345212191343307e-03,2.417633086442947388e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.356972903013229370e-01,0.000000000000000000e+00,2.064079642295837402e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.473684161901473999e-01,0.000000000000000000e+00,2.473684251308441162e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.266577392816543579e-01,4.118345212191343307e-03,2.680791020393371582e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.620130836963653564e-01,0.000000000000000000e+00,2.327237576246261597e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.736842095851898193e-01,0.000000000000000000e+00,2.736842036247253418e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.529735326766967773e-01,4.118345212191343307e-03,2.943948805332183838e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.883288770914077759e-01,0.000000000000000000e+00,2.590395510196685791e-01,1.101843640208244324e-01,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.000000029802322388e-01,0.000000000000000000e+00,3.000000119209289551e-01,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
1.792893260717391968e-01,4.118345212191343307e-03,3.207106888294219971e-01,7.482901960611343384e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
